name,category_slug,price,mrp,unit,stock,image_url,description
"Value Pack Chakki Fresh Whole Wheat Atta #42","staples-grains",280,336,"5 kg",91,"https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500","Enjoy fresh Value Pack Chakki Fresh Whole Wheat Atta #42. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Special Crisp Shimla Apples #43","fruits-vegetables",220,264,"1 kg",92,"https://images.unsplash.com/photo-1560806887-1e4cd0b6cbd6?w=500","Enjoy fresh Special Crisp Shimla Apples #43. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Handpicked Farm Fresh White Eggs #44","dairy-eggs",107,128,"6 pcs",93,"https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=500","Enjoy fresh Handpicked Farm Fresh White Eggs #44. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Super Saver 100% Whole Wheat Bread #45","bakery",115,138,"400 g",94,"https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500","Enjoy fresh Super Saver 100% Whole Wheat Bread #45. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Super Saver Classic Green Tea Bags #46","beverages",175,210,"25 bags",95,"https://images.unsplash.com/photo-1627435601361-ec25f5b1d0e5?w=500","Enjoy fresh Super Saver Classic Green Tea Bags #46. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Super Saver Butter Choco Chip Cookies #47","snacks",55,66,"150 g",96,"https://images.unsplash.com/photo-1499636136210-6f4ee915583e?w=500","Enjoy fresh Super Saver Butter Choco Chip Cookies #47. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Super Saver Refined Sunflower Oil Pouch #48","staples-grains",145,174,"1 L",97,"https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=500","Enjoy fresh Super Saver Refined Sunflower Oil Pouch #48. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Special Green Broccoli #49","fruits-vegetables",80,96,"1 pc",98,"https://images.unsplash.com/photo-1459411621453-7b03977f4bfc?w=500","Enjoy fresh Special Green Broccoli #49. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Natural Farm Fresh White Eggs #50","dairy-eggs",62,74,"6 pcs",99,"https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=500","Enjoy fresh Natural Farm Fresh White Eggs #50. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Gold Double Choco Chip Muffin #51","bakery",135,162,"4 pcs",100,"https://images.unsplash.com/photo-1607958996333-41aef7caefaa?w=500","Enjoy fresh Gold Double Choco Chip Muffin #51. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Gold Rich Dark Roast Coffee #52","beverages",270,324,"200 g",101,"https://images.unsplash.com/photo-1610889556528-9a770e32642f?w=500","Enjoy fresh Gold Rich Dark Roast Coffee #52. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Chef Edition Crispy Salted Potato Chips #53","snacks",55,66,"90 g",102,"https://images.unsplash.com/photo-1566478989037-eec170784d0b?w=500","Enjoy fresh Chef Edition Crispy Salted Potato Chips #53. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Chef Edition Chakki Fresh Whole Wheat Atta #54","staples-grains",265,318,"5 kg",103,"https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500","Enjoy fresh Chef Edition Chakki Fresh Whole Wheat Atta #54. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Deluxe New Crop Potatoes #55","fruits-vegetables",69,83,"1 kg",104,"https://images.unsplash.com/photo-1518977676601-b53f82aba655?w=500","Enjoy fresh Deluxe New Crop Potatoes #55. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Daily Farm Fresh White Eggs #56","dairy-eggs",92,110,"6 pcs",105,"https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=500","Enjoy fresh Daily Farm Fresh White Eggs #56. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Local Sourced 100% Whole Wheat Bread #57","bakery",100,120,"400 g",106,"https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500","Enjoy fresh Local Sourced 100% Whole Wheat Bread #57. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Local Sourced Classic Green Tea Bags #58","beverages",235,282,"25 bags",107,"https://images.unsplash.com/photo-1627435601361-ec25f5b1d0e5?w=500","Enjoy fresh Local Sourced Classic Green Tea Bags #58. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Local Sourced Butter Choco Chip Cookies #59","snacks",115,138,"150 g",108,"https://images.unsplash.com/photo-1499636136210-6f4ee915583e?w=500","Enjoy fresh Local Sourced Butter Choco Chip Cookies #59. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Local Sourced Refined Sunflower Oil Pouch #60","staples-grains",205,246,"1 L",109,"https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=500","Enjoy fresh Local Sourced Refined Sunflower Oil Pouch #60. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Classic Fresh Organic Tomatoes #61","fruits-vegetables",35,42,"1 kg",110,"https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=500","Enjoy fresh Classic Fresh Organic Tomatoes #61. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Value Pack Farm Fresh White Eggs #62","dairy-eggs",47,56,"6 pcs",111,"https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=500","Enjoy fresh Value Pack Farm Fresh White Eggs #62. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Farm Fresh Double Choco Chip Muffin #63","bakery",120,144,"4 pcs",112,"https://images.unsplash.com/photo-1607958996333-41aef7caefaa?w=500","Enjoy fresh Farm Fresh Double Choco Chip Muffin #63. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Farm Fresh Rich Dark Roast Coffee #64","beverages",255,306,"200 g",113,"https://images.unsplash.com/photo-1610889556528-9a770e32642f?w=500","Enjoy fresh Farm Fresh Rich Dark Roast Coffee #64. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Premium Crispy Salted Potato Chips #65","snacks",40,48,"90 g",114,"https://images.unsplash.com/photo-1566478989037-eec170784d0b?w=500","Enjoy fresh Premium Crispy Salted Potato Chips #65. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Premium Chakki Fresh Whole Wheat Atta #66","staples-grains",250,300,"5 kg",115,"https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500","Enjoy fresh Premium Chakki Fresh Whole Wheat Atta #66. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Classic Fresh Spinach Bunch #67","fruits-vegetables",50,60,"250 g",116,"https://images.unsplash.com/photo-1576045057995-568f588f82fb?w=500","Enjoy fresh Classic Fresh Spinach Bunch #67. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Super Saver Farm Fresh White Eggs #68","dairy-eggs",77,92,"6 pcs",117,"https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=500","Enjoy fresh Super Saver Farm Fresh White Eggs #68. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Organic 100% Whole Wheat Bread #69","bakery",85,102,"400 g",118,"https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500","Enjoy fresh Organic 100% Whole Wheat Bread #69. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Organic Classic Green Tea Bags #70","beverages",220,264,"25 bags",119,"https://images.unsplash.com/photo-1627435601361-ec25f5b1d0e5?w=500","Enjoy fresh Organic Classic Green Tea Bags #70. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Organic Butter Choco Chip Cookies #71","snacks",100,120,"150 g",120,"https://images.unsplash.com/photo-1499636136210-6f4ee915583e?w=500","Enjoy fresh Organic Butter Choco Chip Cookies #71. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Organic Refined Sunflower Oil Pouch #72","staples-grains",190,228,"1 L",121,"https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=500","Enjoy fresh Organic Refined Sunflower Oil Pouch #72. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Handpicked Crisp Shimla Apples #73","fruits-vegetables",220,264,"1 kg",122,"https://images.unsplash.com/photo-1560806887-1e4cd0b6cbd6?w=500","Enjoy fresh Handpicked Crisp Shimla Apples #73. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Gold Farm Fresh White Eggs #74","dairy-eggs",107,128,"6 pcs",123,"https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=500","Enjoy fresh Gold Farm Fresh White Eggs #74. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Select Double Choco Chip Muffin #75","bakery",180,216,"4 pcs",124,"https://images.unsplash.com/photo-1607958996333-41aef7caefaa?w=500","Enjoy fresh Select Double Choco Chip Muffin #75. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Select Rich Dark Roast Coffee #76","beverages",240,288,"200 g",125,"https://images.unsplash.com/photo-1610889556528-9a770e32642f?w=500","Enjoy fresh Select Rich Dark Roast Coffee #76. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Fresh Crispy Salted Potato Chips #77","snacks",25,30,"90 g",126,"https://images.unsplash.com/photo-1566478989037-eec170784d0b?w=500","Enjoy fresh Fresh Crispy Salted Potato Chips #77. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Fresh Chakki Fresh Whole Wheat Atta #78","staples-grains",235,282,"5 kg",127,"https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500","Enjoy fresh Fresh Chakki Fresh Whole Wheat Atta #78. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Handpicked Green Broccoli #79","fruits-vegetables",80,96,"1 pc",128,"https://images.unsplash.com/photo-1459411621453-7b03977f4bfc?w=500","Enjoy fresh Handpicked Green Broccoli #79. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Chef Edition Farm Fresh White Eggs #80","dairy-eggs",62,74,"6 pcs",129,"https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=500","Enjoy fresh Chef Edition Farm Fresh White Eggs #80. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Special 100% Whole Wheat Bread #81","bakery",70,84,"400 g",130,"https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500","Enjoy fresh Special 100% Whole Wheat Bread #81. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Special Classic Green Tea Bags #82","beverages",205,246,"25 bags",131,"https://images.unsplash.com/photo-1627435601361-ec25f5b1d0e5?w=500","Enjoy fresh Special Classic Green Tea Bags #82. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Special Butter Choco Chip Cookies #83","snacks",85,102,"150 g",132,"https://images.unsplash.com/photo-1499636136210-6f4ee915583e?w=500","Enjoy fresh Special Butter Choco Chip Cookies #83. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Special Refined Sunflower Oil Pouch #84","staples-grains",175,210,"1 L",133,"https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=500","Enjoy fresh Special Refined Sunflower Oil Pouch #84. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Natural New Crop Potatoes #85","fruits-vegetables",69,83,"1 kg",134,"https://images.unsplash.com/photo-1518977676601-b53f82aba655?w=500","Enjoy fresh Natural New Crop Potatoes #85. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Local Sourced Farm Fresh White Eggs #86","dairy-eggs",92,110,"6 pcs",135,"https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=500","Enjoy fresh Local Sourced Farm Fresh White Eggs #86. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Deluxe Double Choco Chip Muffin #87","bakery",165,198,"4 pcs",136,"https://images.unsplash.com/photo-1607958996333-41aef7caefaa?w=500","Enjoy fresh Deluxe Double Choco Chip Muffin #87. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Deluxe Rich Dark Roast Coffee #88","beverages",300,360,"200 g",137,"https://images.unsplash.com/photo-1610889556528-9a770e32642f?w=500","Enjoy fresh Deluxe Rich Dark Roast Coffee #88. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Classic Crispy Salted Potato Chips #89","snacks",85,102,"90 g",138,"https://images.unsplash.com/photo-1566478989037-eec170784d0b?w=500","Enjoy fresh Classic Crispy Salted Potato Chips #89. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Classic Chakki Fresh Whole Wheat Atta #90","staples-grains",295,354,"5 kg",139,"https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500","Enjoy fresh Classic Chakki Fresh Whole Wheat Atta #90. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Daily Fresh Organic Tomatoes #91","fruits-vegetables",35,42,"1 kg",140,"https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=500","Enjoy fresh Daily Fresh Organic Tomatoes #91. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Farm Fresh Farm Fresh White Eggs #92","dairy-eggs",47,56,"6 pcs",141,"https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=500","Enjoy fresh Farm Fresh Farm Fresh White Eggs #92. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Handpicked 100% Whole Wheat Bread #93","bakery",55,66,"400 g",142,"https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500","Enjoy fresh Handpicked 100% Whole Wheat Bread #93. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Handpicked Classic Green Tea Bags #94","beverages",190,228,"25 bags",143,"https://images.unsplash.com/photo-1627435601361-ec25f5b1d0e5?w=500","Enjoy fresh Handpicked Classic Green Tea Bags #94. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Handpicked Butter Choco Chip Cookies #95","snacks",70,84,"150 g",144,"https://images.unsplash.com/photo-1499636136210-6f4ee915583e?w=500","Enjoy fresh Handpicked Butter Choco Chip Cookies #95. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Handpicked Refined Sunflower Oil Pouch #96","staples-grains",160,192,"1 L",145,"https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=500","Enjoy fresh Handpicked Refined Sunflower Oil Pouch #96. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Daily Fresh Spinach Bunch #97","fruits-vegetables",50,60,"250 g",146,"https://images.unsplash.com/photo-1576045057995-568f588f82fb?w=500","Enjoy fresh Daily Fresh Spinach Bunch #97. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Premium Farm Fresh White Eggs #98","dairy-eggs",77,92,"6 pcs",147,"https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=500","Enjoy fresh Premium Farm Fresh White Eggs #98. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Natural Double Choco Chip Muffin #99","bakery",150,180,"4 pcs",148,"https://images.unsplash.com/photo-1607958996333-41aef7caefaa?w=500","Enjoy fresh Natural Double Choco Chip Muffin #99. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Natural Rich Dark Roast Coffee #100","beverages",285,342,"200 g",149,"https://images.unsplash.com/photo-1610889556528-9a770e32642f?w=500","Enjoy fresh Natural Rich Dark Roast Coffee #100. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Daily Crispy Salted Potato Chips #101","snacks",70,84,"90 g",150,"https://images.unsplash.com/photo-1566478989037-eec170784d0b?w=500","Enjoy fresh Daily Crispy Salted Potato Chips #101. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Daily Chakki Fresh Whole Wheat Atta #102","staples-grains",280,336,"5 kg",151,"https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500","Enjoy fresh Daily Chakki Fresh Whole Wheat Atta #102. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Value Pack Crisp Shimla Apples #103","fruits-vegetables",220,264,"1 kg",152,"https://images.unsplash.com/photo-1560806887-1e4cd0b6cbd6?w=500","Enjoy fresh Value Pack Crisp Shimla Apples #103. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Organic Farm Fresh White Eggs #104","dairy-eggs",107,128,"6 pcs",153,"https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=500","Enjoy fresh Organic Farm Fresh White Eggs #104. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Value Pack 100% Whole Wheat Bread #105","bakery",115,138,"400 g",154,"https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500","Enjoy fresh Value Pack 100% Whole Wheat Bread #105. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Value Pack Classic Green Tea Bags #106","beverages",175,210,"25 bags",155,"https://images.unsplash.com/photo-1627435601361-ec25f5b1d0e5?w=500","Enjoy fresh Value Pack Classic Green Tea Bags #106. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
"Value Pack Butter Choco Chip Cookies #107","snacks",55,66,"150 g",156,"https://images.unsplash.com/photo-1499636136210-6f4ee915583e?w=500","Enjoy fresh Value Pack Butter Choco Chip Cookies #107. High quality grocery product delivered directly to your doorstep by Vrindavan Mart."
